CODE	FAMILY	TYPE	DOSE(mg)	DESCRIPTION
TIE/32939EMIS	NSAID	NSAID	500	Timpron 500 Ec  E/c tablets  5
TIS/9948HILLI	NSAID	NSAID	1	Tiaprofenic Acid  S/r capsules
TISA5449	NSAID	NSAID	300	Tiaprofenic Acid  Sachets  300
TITA24281EMIS	NSAID	NSAID	250	Timpron  Tablets  250 mg
TITA24282EMIS	NSAID	NSAID	500	Timpron  Tablets  500 mg
TITA2855	NSAID	NSAID	300	Tiaprofenic Acid  Tablets  300
TITA9554EMIS	NSAID	NSAID	200	Tiaprofenic Acid  Tablets  200
TOCA2877	NSAID	NSAID	400	Tolectin  Capsules  400 mg
TOCA5460	NSAID	NSAID	400	Tolmetin  Capsules  400 mg
TOCA9544BRIDL	NSAID	NSAID	200	Tolectin  Capsules  200 mg
TOCA9961HILLI	NSAID	NSAID	200	Tolmetin  Capsules  200 mg
TOTA21931EMIS	NSAID	NSAID	10	Toradol  Tablets  10 mg
VAE/9987HILLI	NSAID	NSAID	25	Valenac  Tablets  25 mg
VAE/9988HILLI	NSAID	NSAID	50	Valenac  Tablets  50 mg
VAM/12791NEMIS	NSAID	NSAID	75	Valdic 75 Retard  M/R tablets 
VAM/12793NEMIS	NSAID	NSAID	100	Valdic 100 Retard  M/R tablets
VAM/47025NEMIS	NSAID	NSAID	200	Valket Retard  M/R capsules  2
VATA15390NEMIS	NSAID	NSAID	10	Valdecoxib  Tablet  10 mg
VATA15392NEMIS	NSAID	NSAID	20	Valdecoxib  Tablet  20 mg
VATA15393NEMIS	NSAID	NSAID	40	Valdecoxib  Tablet  40 mg
VATA9991HILLI	NSAID	NSAID	250	Valrox  Tablets  250 mg
VATA9992HILLI	NSAID	NSAID	500	Valrox  Tablets  500 mg
VIM/47268NEMIS	NSAID	NSAID	500	Vimovo  M/R tablets  500 mg + 
VIOR472NEMIS	NSAID	NSAID	12.5	Vioxx  Oral suspension  12.5mg
VIOR473NEMIS	NSAID	NSAID	25	Vioxx  Oral suspension  25mg/5
VITA11577NEMIS	NSAID	NSAID	25	Vioxxacute  Tablets  25 mg
VITA11578NEMIS	NSAID	NSAID	50	Vioxxacute  Tablets  50 mg
VITA474NEMIS	NSAID	NSAID	12.5	Vioxx  Tablets  12.5 mg
VITA475NEMIS	NSAID	NSAID	25	Vioxx  Tablets  25 mg
VODI9425BRIDL	NSAID	NSAID	1	Voltarol  Dispersible tablets 
VOM/13540NEMIS	NSAID	NSAID	75	Volsaid Retard 75  M/R tablets
VOM/13542NEMIS	NSAID	NSAID	100	Volsaid Retard 100  M/R tablet
VOM/28767EMIS	NSAID	NSAID	75	Volsaid Sr 75  M/R tablets  75
VOM/28769EMIS	NSAID	NSAID	100	Volsaid Sr 100  M/R tablets  1
VOS/18019EMIS	NSAID	NSAID	75	Voltarol Sr  M/R tablets  75 m
VOTA1027NEMIS	NSAID	NSAID	25	Voltarol Rapid  Tablets  25 mg
VOTA1028NEMIS	NSAID	NSAID	50	Voltarol Rapid  Tablets  50 mg
VOTA3064	NSAID	NSAID	25	Voltarol  Tablets  25 mg
VOTA3065	NSAID	NSAID	50	Voltarol  Tablets  50 mg
VOTA3066	NSAID	NSAID	1	Voltarol Retard  M/R tablets  
VOTA31790NEMIS	NSAID	NSAID	12.5	Voltarol Pain-Eze  Tablets  12
VOTA8338EGTON	NSAID	NSAID	1	Voltaren Retard  M/R tablets  
VOTA9037BRIDL	NSAID	NSAID	25	Volraman  Tablets  25 mg
VOTA9039BRIDL	NSAID	NSAID	50	Volraman  Tablets  50 mg
XETA11606NEMIS	NSAID	NSAID	4	Xefo  Tablets  4 mg
XETA11607NEMIS	NSAID	NSAID	8	Xefo  Tablets  8 mg
IBM/25575NEMIS	NSAID	NSAID	300	Ibuprofen 300mg modified-release capsules
INCA5025	NSAID	NSAID	75	Indometacin  Capsules  75 mg
NUOR33292NEMIS	NSAID	NSAID	100	Nurofen For Children  Oral Suspension (Strawberry)  100 mg/5 ml
NUOR33298NEMIS	NSAID	NSAID	100	Nurofen For Children  Oral Suspension (Orange)  100 mg/5 ml
SUCA2743	NSAID	NSAID	300	Surgam  Capsules  300 mg
DISU25795EMIS	NSAID	NSAID	25	Diclofenac 25mg suppositories
DISU25796EMIS	NSAID	NSAID	50	Diclofenac 50mg suppositories
DISU883	NSAID	NSAID	100	Diclofenac 100mg suppositories
INSU1460	NSAID	NSAID	100	Indocid 100mg suppositories (Aspen Pharma Trading Ltd)
INSU17690NEMIS	NSAID	NSAID	100	Indometacin 100mg suppositories
INSU5026	NSAID	NSAID	100	Indomethacin  Suppositories  100 mg
VOSU25792EMIS	NSAID	NSAID	50	Voltarol 50mg suppositories (Novartis Pharmaceuticals UK Ltd)
VOSU3063	NSAID	NSAID	100	Voltarol 100mg suppositories (Novartis Pharmaceuticals UK Ltd)
DITA905	DIGOXIN	DIGOXIN	0.125	Digoxin 125microgram tablets
DITA906	DIGOXIN	DIGOXIN	0.25	Digoxin 250microgram tablets
DITA908	DIGOXIN	DIGOXIN	0.0625	Digoxin 62.5microgram tablets
DIEL10376BRIDL	DIGOXIN	DIGOXIN	0.05	Digoxin 50micrograms/ml oral solution
LATA1595	DIGOXIN	DIGOXIN	0.125	Lanoxin Tablets 125 micrograms
LATA1596	DIGOXIN	DIGOXIN	0.25	Lanoxin 250microgram tablets (Aspen Pharma Trading Ltd)
LATA1597	DIGOXIN	DIGOXIN	0.0625	Lanoxin PG 62.5microgram tablets (Aspen Pharma Trading Ltd)
APTA78094NEMIS	DOAC	Apixaban	5	Apixaban 5mg tablets
APTA51806NEMIS	DOAC	Apixaban	2.5	Apixaban 2.5mg tablets
DACA51688NEMIS	DOAC	Dabigatran	150	Dabigatran etexilate 150mg capsules
DACA29863NEMIS	DOAC	Dabigatran	110	Dabigatran etexilate 110mg capsules
DACA29861NEMIS	DOAC	Dabigatran	75	Dabigatran etexilate 75mg capsules
EDTA103668NEMIS	DOAC	Edoxaban	30	Edoxaban 30mg tablets
EDTA103669NEMIS	DOAC	Edoxaban	60	Edoxaban 60mg tablets
RITA95192NEMIS	DOAC	Rivaroxaban	2.5	Rivaroxaban 2.5mg tablets
RITA31771NEMIS	DOAC	Rivaroxaban	10	Rivaroxaban 10mg tablets
RITA52591NEMIS	DOAC	Rivaroxaban	15	Rivaroxaban 15mg tablets
RITA52592NEMIS	DOAC	Rivaroxaban	20	Rivaroxaban 20mg tablets
ARTA1671NEMIS	DMARD	Leflunomide	20	Arava Tablets  20 mg
LETA1666NEMIS	DMARD	Leflunomide	10	Leflunomide 10mg tablets
LETA1668NEMIS	DMARD	Leflunomide	20	Leflunomide 20mg tablets
LETA1669NEMIS	DMARD	Leflunomide	100	Leflunomide 100mg tablets
MECA20146NEMIS	DMARD	Mercaptopurine	10	Mercaptopurine 10mg capsules
META107088NEMIS	DMARD	Mercaptopurine	75	Mercaptopurine 75mg tablets
META5126	DMARD	Mercaptopurine	50	Mercaptopurine 50mg tablets
PUTA4239	DMARD	Mercaptopurine	50	Puri-Nethol 50mg tablets (Aspen Pharma Trading Ltd)
MYTA31625EMIS	DMARD	Mycophenolate	500	Mycophenolate mofetil 500mg tablets
MYTA31625EMIS	DMARD	Mycophenolate	500	Mycophenolate Mofetil Tablets 500 mg
MYCA28266EMIS	DMARD	Mycophenolate	250	Mycophenolate mofetil 250mg capsules
CECA28264EMIS	DMARD	Mycophenolate	250	CellCept 250mg capsules (Roche Products Ltd)
CETA31623EMIS	DMARD	Mycophenolate	500	CellCept 500mg tablets (Roche Products Ltd)
MYGA18756NEMIS	DMARD	Mycophenolate	180	Myfortic 180mg gastro-resistant tablets (Novartis Pharmaceuticals UK Ltd)
YGA18757NEMIS	DMARD	Mycophenolate	360	Myfortic 360mg gastro-resistant tablets (Novartis Pharmaceuticals UK Ltd)
SUTA17836NEMIS	DMARD	Sulfasalazine	500	Sulfasalazine 500mg tablets
SUE/17828NEMIS	DMARD	Sulfasalazine	500	Sulfasalazine 500mg gastro-resistant tablets
SUE/896NEMIS	DMARD	Sulfasalazine	500	Sulphasalazine E/C Tablets 500 mg
SAEN2477	DMARD	Sulfasalazine	500	Salazopyrin EN-Tabs 500mg (Pfizer Ltd)
SATA2478	DMARD	Sulfasalazine	500	Salazopyrin 500mg tablets (Pfizer Ltd)
SUEN2731	DMARD	Sulfasalazine	500	Sulphasalazine En-Tablets 500 mg
SUTA2732	DMARD	Sulfasalazine	500	Sulphasalazine Tablets 500 mg
SUGA78926NEMIS	DMARD	Sulfasalazine	500	Sulazine EC 500mg tablets (Genesis Pharmaceuticals Ltd)
MATA3883	DMARD	Methotrexate	2.5	Maxtrex 2.5mg tablets (Pfizer Ltd)
META3900	DMARD	Methotrexate	2.5	Methotrexate 2.5mg tablets
META5136	DMARD	Methotrexate	10	Methotrexate 10mg tablets
WATA3068	Anticoag	Warfarin	1	Warfarin 1mg tablets
WATA3069	Anticoag	Warfarin	3	Warfarin 3mg tablets
WATA3070	Anticoag	Warfarin	5	Warfarin 5mg tablets
WATA637NEMIS	Anticoag	Warfarin	0.5	Warfarin 500microgram tablets
WATA8904BRIDL	Anticoag	Warfarin	1	Warfarin Wbp  Tablets  1 mg
WATA8906BRIDL	Anticoag	Warfarin	3	WARFARIN WBP TABLETS 3 MG
WAOR47613NEMIS	Anticoag	Warfarin	1	Warfarin 1mg/ml oral suspension sugar free
AMTA112	AMIODARONE	AMIODARONE	100	Amiodarone  Tablets  100 mg
AMTA113	AMIODARONE	AMIODARONE	200	Amiodarone  Tablets  200 mg
AMTA14688NEMIS	AMIODARONE	AMIODARONE	100	tAmyben  Tablets  100 mg
AMTA14689NEMIS	AMIODARONE	AMIODARONE	200	tAmyben  Tablets  200 mg
AMTA32934EMIS	AMIODARONE	AMIODARONE	100	Amidox  Tablets  100 mg
AMTA32935EMIS	AMIODARONE	AMIODARONE	200	Amidox  Tablets  200 mg
COTA728	AMIODARONE	AMIODARONE	100	Cordarone X  Tablets  100 mg
COTA729	AMIODARONE	AMIODARONE	200	Cordarone X  Tablets  200 mg
AMOR23377NEMIS	AMIODARONE	AMIODARONE	100	Amiodarone  Oral Solution  100 mg/5 ml
AZTA10446BRIDL	DMARD	Azathioprine	Azathioprine 25mg tablets
AZSU18407NEMIS	DMARD	Azathioprine	Azathioprine  Suspension  50 mg/5 ml
AZCA18881NEMIS	DMARD	Azathioprine	Azathioprine 10mg capsules
AZOR45627NEMIS	DMARD	Azathioprine	Azathioprine 50mg/5ml oral solution
IMTA1447	DMARD	Azathioprine	Imuran 50mg tablets (Aspen Pharma Trading Ltd)
IMTA3757	DMARD	Azathioprine	Imuran 25mg tablets (Aspen Pharma Trading Ltd)
